Year,Round,College Code,College,Course,GM,1G,2AG,2BG,3AG,3BG,SCG,STG,GMH,1H,2AH,2BH,3AH,3BH,SCH,STH
2025,R3,E048,"E048 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE","COMPUTER SCIENCE AND BUSINESS SYSTEMS",6293,7516,8948,12954,6669,7367,31774,33431,,,,,,,,
2025,R3,E048,"E048 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE","COMPUTER SCIENCE AND ENGG(INTERNE T OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH)",5707,8075,8419,13522,6742,6029,27967,33593,,,,,,,,
2025,R3,E048,"E048 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE","COMPUTER SCIENCE AND ENGINEERING",3870,5740,6531,10528.5,5893,4919,23377.5,26641,,,,,,,,
2025,R3,E048,"E048 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",4585,6885,6946,9421,6184,5698.5,25092,28545,,,,,,,,
2025,R3,E049,"E049 B V V Sangha`s Basaveshwara Engineering College , Bagalkote (AUTONOMOUS) NIJALINGAPPA ROAD,BAGALKOT 587102","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING ENGINEERING",33429,55238,41802,40601.5,34017,37755,81993,54196,,,,,,,,
2025,R3,E049,"E049 B V V Sangha`s Basaveshwara Engineering College , Bagalkote (AUTONOMOUS) NIJALINGAPPA ROAD,BAGALKOT 587102","COMPUTER SCIENCE AND ENGINEERING",33642,43836,37052,66325,35415,36309,83170,95411,,,,,,,,
2025,R3,E049,"E049 B V V Sangha`s Basaveshwara Engineering College , Bagalkote (AUTONOMOUS) NIJALINGAPPA ROAD,BAGALKOT 587102","INFORMATION SCIENCE AND ENGINEERING",46367,54687.5,57261.5,61905,60526,50913,149830,118539,,,,,,,,
2025,R3,E057,"E057 JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006","COMPUTER SCIENCE AND BUSINESS SYSTEMS",11972,25308,18421,24646,12383,13530,50558,52018,,,,,,,,
2025,R3,E057,"E057 JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",7311,,8954.5,13002,7945.75,8007,30958,23321,,,,,,,,
2025,R3,E057,"E057 JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006","COMPUTER SCIENCE AND ENGINEERING SCIENCE AND TECHNOLOGY(E XCLUSIVELY FOR DIFFERENTLY ABLED)",6390,10333.5,9794,18171,7827,7047,27697,33821,,,,,,,,
2025,R3,E057,"E057 JSS Science and Technology University JSS TECHNICAL INSTITUTIONS CAMPUS, MANASAGANGOTHRI, MYSURU 570006","INFORMATION SCIENCE AND ENGINEERING",9217,12562,12915,25494.7,10681,10602,40095,43951,,,,,,,,
2025,R3,E058,"E058 P E S College of Engineering, Mandya(AUTONOMOUS) MANDYA: 571 401","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",33313,59839,52748,,34856,48546,59062,85195,,,,,,,,
2025,R3,E058,"E058 P E S College of Engineering, Mandya(AUTONOMOUS) MANDYA: 571 401","COMPUTER SCIENCE AND ENGINEERING",34483,50372,50284,63793,38197,44267,69169,78811,,,,,,,,
2025,R3,E058,"E058 P E S College of Engineering, Mandya(AUTONOMOUS) MANDYA: 571 401","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",43599,93656,74156,118742,45727,48199,113673,83656,,,,,,,,
2025,R3,E058,"E058 P E S College of Engineering, Mandya(AUTONOMOUS) MANDYA: 571 401","INFORMATION SCIENCE AND ENGINEERING",44303,84699,64867,57512,47407,47357,87047,89254,,,,,,,,
2025,R3,E059,"E059 P D A College of Engineering, Gulbarga(AUTONOMOUS) AIWAN-E-SHAHI AREA,STATION ROAD,GULBARGA-585102","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",44520,73014,70843,,93387,62007,97685,65590,,,,,,,,
2025,R3,E059,"E059 P D A College of Engineering, Gulbarga(AUTONOMOUS) AIWAN-E-SHAHI AREA,STATION ROAD,GULBARGA-585102","COMPUTER SCIENCE AND ENGINEERING",40311,76816,79788,59105,62631,46778,87111,90829,,,,,,,,
2025,R3,E060,"E060 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",22487,31311,25817,30644,23472,24653,53956,39466,,,,,,,,
2025,R3,E060,"E060 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056","COMPUTER SCIENCE AND BUSINESS SYSTEMS",30871,37812,37151,,35278,34918,66810,118324,,,,,,,,
2025,R3,E060,"E060 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056","COMPUTER SCIENCE AND ENGINEERING",19997,28409,28277,27774,22098.8,23250,52233,54482,,,,,,,,
2025,R3,E060,"E060 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",22162,32526,29267,40081,22640,26554,40416,54899,,,,,,,,
2025,R3,E060,"E060 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056","INFORMATION SCIENCE AND ENGINEERING",27695,33879,33828,44280.5,30062,30219,70791,72875,,,,,,,,
2025,R3,E061,"E061 University B.D.T College of Engineering, Davanagere P J EXTENSION,HADADI ROAD,DAVENGERE","COMPUTER SCIENCE AND ENGINEERING",26588,30663,33091,51067,28146,32333,65189,40268,,,,,,,,
2025,R3,E061,"E061 University B.D.T College of Engineering, Davanagere P J EXTENSION,HADADI ROAD,DAVENGERE","ROBOTICS AND ARTIFICIAL INTELLIGENCE",43335,67275,51585.5,59148,59387,56863,141405,75111,,,,,,,,
2025,R3,E062,"E062 Bapuji Institute of Engineering &  Technology, Davangere (AUTONOMOUS) BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY,P.B. NO.325,SHAMANUR ROAD,DAVANGERE-577 004","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",38135,56328,52389,43733,46462,47708,103876,109310,,,,,,,,
2025,R3,E062,"E062 Bapuji Institute of Engineering &  Technology, Davangere (AUTONOMOUS) BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY,P.B. NO.325,SHAMANUR ROAD,DAVANGERE-577 004","COMPUTER SCIENCE AND ENGINEERING",35148,55753,50039,43042,42718,38908,98185,85249,,,,,,,,
2025,R3,E062,"E062 Bapuji Institute of Engineering &  Technology, Davangere (AUTONOMOUS) BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY,P.B. NO.325,SHAMANUR ROAD,DAVANGERE-577 004","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",43562,51627,55594,58086,56548,46760,99710,93742,,,,,,,,
2025,R3,E062,"E062 Bapuji Institute of Engineering &  Technology, Davangere (AUTONOMOUS) BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY,P.B. NO.325,SHAMANUR ROAD,DAVANGERE-577 004","INFORMATION SCIENCE AND ENGINEERING",48882,72244,61832.5,61573,61574.5,49075,158040,113061,,,,,,,,
2025,R3,E065,"E065 Jawaharlal Nehru New College of Engineering, Shimoga P.B. NO. 128,NAVULE, SHIMOGA","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",23437,34772,42751,,29484,28204,54181,79249,,,,,,,,
2025,R3,E065,"E065 Jawaharlal Nehru New College of Engineering, Shimoga P.B. NO. 128,NAVULE, SHIMOGA","COMPUTER SCIENCE AND ENGINEERING",29785,46021,49411,35123,36138,43896,90603.5,105020,,,,,,,,
2025,R3,E065,"E065 Jawaharlal Nehru New College of Engineering, Shimoga P.B. NO. 128,NAVULE, SHIMOGA","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",48373,59600,55424,74889,60646,59618,113113,100234,,,,,,,,
2025,R3,E065,"E065 Jawaharlal Nehru New College of Engineering, Shimoga P.B. NO. 128,NAVULE, SHIMOGA","INFORMATION SCIENCE AND ENGINEERING",55652,94085,73571,71668,68725,61748,128975,177548,,,,,,,,
2025,R3,E066,"E066 University B.D.T. college of Engineering, (H.GOV),Davangere","COMPUTER SCIENCE AND ENGINEERING",49929,60329,65237,71550,64619,56254,89367,81023,,,,,,,,
2025,R3,E071,"E071 Vidya Vardhaka College of Engineering, Mysore(AUTONOMOUS) P.B.NO.206,GOKULAM 3RD STAGE,MYSORE","COMPUTER SCIENCE AND ENGG(ARTIFICIA L INTELLIGENCE AND MACHINE LEARNING)",22601,32594,31720,29105,23098,26665,62135,49616,,,,,,,,
2025,R3,E071,"E071 Vidya Vardhaka College of Engineering, Mysore(AUTONOMOUS) P.B.NO.206,GOKULAM 3RD STAGE,MYSORE","COMPUTER SCIENCE AND ENGINEERING",22380,33825,31426,34897,26580,26674,66088,70144,,,,,,,,
2025,R3,E075,"E075 Ballari Institute of Technology & Management, Bellary(AUTONOMOUS) ""JNANA GANGOTRI"" CAMPUS, #873/2 OF KOLAGAL VILLAGE,BELLARY-HOSPET ROAD, ALLIPUR","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",49105,62237,63919,58186,63011,52989,111350,83259,,,,,,,,
2025,R3,E075,"E075 Ballari Institute of Technology & Management, Bellary(AUTONOMOUS) ""JNANA GANGOTRI"" CAMPUS, #873/2 OF KOLAGAL VILLAGE,BELLARY-HOSPET ROAD, ALLIPUR","COMPUTER SCIENCE AND ENGG (ARTIFICIAL INTELLIGENCE)",48756,,58978,,59209,63278,93148,58521,,,,,,,,
2025,R3,E075,"E075 Ballari Institute of Technology & Management, Bellary(AUTONOMOUS) ""JNANA GANGOTRI"" CAMPUS, #873/2 OF KOLAGAL VILLAGE,BELLARY-HOSPET ROAD, ALLIPUR","COMPUTER SCIENCE AND ENGINEERING",30270,56698,48857,43814,54796,42689.5,74794,51762,,,,,,,,
2025,R3,E075,"E075 Ballari Institute of Technology & Management, Bellary(AUTONOMOUS) ""JNANA GANGOTRI"" CAMPUS, #873/2 OF KOLAGAL VILLAGE,BELLARY-HOSPET ROAD, ALLIPUR","COMPUTER SCIENCE AND ENGINEERING(D ATA SCIENCE)",54108,73513,76707.5,,,58144,123129,106441,,,,,,,,
2025,R3,E077,"E077 Vidya Vikas Institute of Engineering & Technology, Mysore #127,ALANAHALLY,ALANAHALLY  POST,MYSORE-BANNUR ROAD,MYSORE","COMPUTER SCIENCE AND ENGINEERING",44468,78081,56365,67326,62280,44738,93692,94121,,,,,,,,
