Year,Round,College Code,College,Course,3AG,3AH,3AK,3AKH,3AR,3ARH,GM,GMH,GMK,GMKH,GMR,GMRH
2022,R1,E071,"Vidya Vardhaka College of Engineering Mysuru","Computer Science and Engineering",10717,,,,,,9993,,15923,,11313,
2022,R1,E071,"Vidya Vardhaka College of Engineering Mysuru","Information Science and Engineering",13154,,,,15304,,12596,,21345,,14686,
2022,R1,E075,"Ballari Institute of Technology and Management Near Allipur Bellary","Artificial Intelligence and Machine Learning",56207,,,,,,46884,,67691,,56755,
2022,R1,E075,"Ballari Institute of Technology and Management Near Allipur Bellary","Computer Science (Artificial Intelligence)",,,,,,,35419,,,,58647,
2022,R1,E075,"Ballari Institute of Technology and Management Near Allipur Bellary","Computer Science and Engineering",25722,,,,,,19536,,24202,,32802,
2022,R1,E075,"Ballari Institute of Technology and Management Near Allipur Bellary","Computer Science and Engineering - Data Science",39287,,,,,,33009,,,,,
2022,R1,E076,"Proudadevaraya Institute of Technology Indiranagar Hospet, Ballari DT","Computer Science and Engineering",,,,,,,55416,,57884,,60960,
2022,R1,E077,"Vidya Vikas Institute of Engineering and Technology Mysuru","Computer Science and Engineering",24554,,,,,,24405,,30677,,26185,
2022,R1,E077,"Vidya Vikas Institute of Engineering and Technology Mysuru","Information Science and Engineering",32013,,,,,,31286,,37925,,33332,
2022,R1,E078,"The Oxford College of Engineering Bangalore","Artificial Intelligence and Machine Learning",37307,,,,,,35346,,59092,,37079,
2022,R1,E078,"The Oxford College of Engineering Bangalore","Computer Science and Engineering",26091,,,,,,24522,,28310,,26559,
2022,R1,E078,"The Oxford College of Engineering Bangalore","Information Science and Engineering",32995,,,,,,32847,,41712,,34835,
2022,R1,E079,"Acharya Institute of Technology Bangalore","Artificial Intelligence and Machine Learning",26416,,,,,,25845,,40256,,29114,
2022,R1,E079,"Acharya Institute of Technology Bangalore","Computer Science and Engineering",14924,,,,16156,,14749,,20665,,15538,
2022,R1,E079,"Acharya Institute of Technology Bangalore","Computer Science and Engineering - Data Science",25114,,,,,,23221,,,,24615,
2022,R1,E079,"Acharya Institute of Technology Bangalore","Information Science and Engineering",17820,,,,,,17663,,24394,,19505,
2022,R1,E082,"J S S Academy of Technical Education Bangalore","Computer Science (AI and Machine Learning)",17142,,,,,,16303,,36536,,24534,
